iter	MultiClass
322	0.5836782562
323	0.5834890417
324	0.5832443995
325	0.583223063
326	0.5831899297
327	0.5831309192
328	0.5829953761
329	0.5826025569
330	0.5822321221
331	0.5819375651
332	0.581665095
333	0.5813182852
334	0.5812625648
335	0.5811339594
336	0.5808562764
337	0.5807499075
338	0.5805625978
339	0.5804001406
340	0.5802999149
341	0.5802023761
342	0.5801684146
343	0.5801160662
344	0.5799330761
345	0.5799223624
346	0.5792901983
347	0.5791306847
348	0.5789426054
349	0.57887823
350	0.5787635679
351	0.5786089956
352	0.57821494
353	0.5782002383
354	0.5781761863
355	0.5781628323
356	0.5779518402
357	0.5778668545
358	0.5778528198
359	0.5777159974
360	0.5775831408
361	0.5774685325
362	0.5774167138
363	0.5773565881
364	0.5773432236
365	0.5772045542
366	0.5769210486
367	0.5766930129
368	0.576590876
369	0.5764220931
370	0.5762170183
371	0.5760679224
372	0.5760309397
373	0.5759549342
374	0.5758489864
375	0.5757326636
376	0.5757095005
377	0.5753609731
378	0.5752569103
379	0.5751528504
380	0.5750674089
381	0.5749844562
382	0.5749333414
383	0.5747681664
384	0.574600707
385	0.5744240319
386	0.5743293788
387	0.5742444945
388	0.5740265388
389	0.5739788092
390	0.5738030509
391	0.5737796968
392	0.5737533902
393	0.5735344912
394	0.5734144819
395	0.5732338248
396	0.5732109413
397	0.5730283582
398	0.5730025205
399	0.5729433008
400	0.5728832083
401	0.5728374082
402	0.5726930213
403	0.5726067336
404	0.572369336
405	0.5722925327
406	0.5719961088
407	0.571851753
408	0.5715946883
409	0.5714129426
410	0.571328655
411	0.5712634055
412	0.5711570224
413	0.5710920109
414	0.5708578964
415	0.5705388249
416	0.5704791906
417	0.570436038
418	0.5704226834
419	0.5704122954
420	0.5703534429
421	0.570316397
422	0.5701548951
423	0.5699311045
424	0.5699205175
425	0.5698090811
426	0.5696005793
427	0.5695526695
428	0.5694704847
429	0.569310793
430	0.5691174082
431	0.5690284767
432	0.5685859652
433	0.568449915
434	0.5684357852
435	0.5683291658
436	0.5682080579
437	0.5681934861
438	0.5680784588
439	0.5680617347
440	0.5680116039
441	0.5679478532
442	0.5677960446
443	0.5676572652
444	0.5676425651
445	0.5675869745
446	0.5675624568
447	0.5674576862
448	0.5670742655
449	0.5670144041
450	0.5669858297
451	0.5669745465
452	0.5666428414
453	0.5664875143
454	0.5662504368
455	0.5661339051
456	0.565882226
457	0.5658674512
458	0.5658475937
459	0.5657147716
460	0.5654484698
461	0.5653910943
462	0.5653013999
463	0.5652901768
464	0.5651796075
465	0.5650590136
466	0.5647403567
467	0.5646434663
468	0.5645738991
469	0.56451583
470	0.5644652703
471	0.5641721757
472	0.5640182537
473	0.563933369
474	0.5638135276
475	0.5637526104
476	0.563670168
477	0.5636623495
478	0.5635287602
479	0.5633402028
480	0.5631088101
481	0.5630879886
482	0.562959217
483	0.5627412014
484	0.562506586
485	0.5623498436
486	0.5623177063
487	0.5622414512
488	0.562110574
489	0.5618310684
490	0.5615782368
491	0.5615625203
492	0.5615347852
493	0.5612253663
494	0.5610904749
495	0.5610728303
496	0.5610077164
497	0.5609303567
498	0.5609073615
499	0.5605331715
500	0.5603210946
501	0.5602211418
502	0.5599428723
503	0.5597536692
504	0.5597159072
505	0.5595893291
506	0.5594192368
507	0.5591901729
508	0.5591779376
509	0.5591542576
510	0.5590259512
511	0.5588930491
512	0.5588515387
513	0.558822451
514	0.5587495694
515	0.5587144738
516	0.5585970093
517	0.558544963
518	0.5582570848
519	0.5581660724
520	0.5580603203
521	0.5576766358
522	0.5576327823
523	0.55758352
524	0.5572954347
525	0.5572376235
526	0.5572253949
527	0.5569805839
528	0.5567262162
529	0.5566002435
530	0.5565826517
531	0.5563932987
532	0.5563169863
533	0.5560087382
534	0.5558989214
535	0.5557262349
536	0.5555236859
537	0.5555148425
538	0.5553202755
539	0.5552794001
540	0.5551617433
541	0.5551022141
542	0.5550940419
543	0.5548891692
544	0.5548026633
545	0.5547040311
546	0.5546931994
547	0.5545897167
548	0.5543020528
549	0.554193804
550	0.5536810845
551	0.5532832112
552	0.5531952723
553	0.5529353962
554	0.5529202568
555	0.5527396772
556	0.552590111
557	0.5524768505
558	0.5522510051
559	0.5522034761
560	0.5520243824
561	0.5520181196
562	0.5518862407
563	0.5518220762
564	0.5516418109
565	0.5511936428
566	0.5511549304
567	0.5510551185
568	0.5509969411
569	0.5509463923
570	0.5508765457
571	0.5508684207
572	0.5507125282
573	0.5505598615
574	0.5504902617
575	0.5504769726
576	0.5503555147
577	0.550342565
578	0.5501914454
579	0.5499916978
580	0.5499808836
581	0.5497468337
582	0.5496774768
583	0.5494593595
584	0.5494171355
585	0.54940767
586	0.5492737634
587	0.5492346422
588	0.5491605764
589	0.5491441233
590	0.5490372411
591	0.5489754966
592	0.548943712
593	0.5489324277
594	0.5486385993
595	0.5484773529
596	0.5484145059
597	0.5482294927
598	0.5481759616
599	0.5479745747
600	0.547926466
601	0.5479116419
602	0.547787643
603	0.5477751496
604	0.5476412574
605	0.5475844001
606	0.5474862324
607	0.5473078629
608	0.5472340617
609	0.5471917695
610	0.5471793373
611	0.5471248439
612	0.5470916938
613	0.5469561195
614	0.5467140123
615	0.5466554707
616	0.5465897469
617	0.5461967905
618	0.5460473609
619	0.5460204516
620	0.5457117366
621	0.5453047554
622	0.5452622567
623	0.5448493086
624	0.5447780106
625	0.5447196104
626	0.5446394986
627	0.5445870933
628	0.5445388971
629	0.5442633935
630	0.5441374561
631	0.544085623
632	0.5439994017
633	0.5439639873
634	0.5438198974
635	0.5437762966
636	0.5437275941
637	0.5435016705
638	0.543207582
639	0.5429465747
640	0.5428508347
641	0.5426507565
642	0.5424521002
643	0.5423728517
644	0.5422641178
645	0.5421579213
646	0.5421000917
647	0.5419823923
648	0.541863262
649	0.5418294959
650	0.5417574231
651	0.5417455629
652	0.541710189
653	0.5415576774
654	0.5414115865
655	0.5412253029
656	0.5411292061
657	0.5411228858
658	0.5410715966
659	0.5409256456
660	0.5408749842
661	0.5408663754
662	0.5408054147
663	0.5406899622
664	0.5406812888
665	0.5406650194
666	0.540644908
667	0.5405702487
668	0.5405064299
669	0.540486165
670	0.5403962572
671	0.5401059909
672	0.5399963674
673	0.5398502273
674	0.539679741
675	0.5396693554
676	0.5396505517
677	0.5396001871
678	0.5394586938
679	0.5392220284
680	0.5390041158
681	0.5389288057
682	0.5387933446
683	0.5387355072
684	0.5385965485
685	0.5384998771
686	0.5384691859
687	0.5384527097
688	0.5382861042
689	0.5382410296
690	0.5380847096
691	0.5378277509
692	0.5377774133
693	0.5376889464
694	0.5375306213
695	0.5374204967
696	0.5372564698
697	0.5371716726
698	0.5371283696
699	0.5371226063
700	0.5370139084
701	0.5369205115
702	0.5368612893
703	0.5367161098
704	0.5365530571
705	0.5364580344
706	0.5364299026
707	0.5362876506
708	0.5362537705
709	0.5361830517
710	0.5360040905
711	0.5359108114
712	0.5358540546
713	0.5357590216
714	0.5356406726
715	0.5356068425
716	0.5355206352
717	0.5353119019
718	0.5351944728
719	0.5350127507
720	0.5347818551
721	0.5345761966
722	0.5345676951
723	0.534495028
724	0.5343540228
725	0.5338678331
726	0.5337345265
727	0.5336467296
728	0.5335525095
729	0.5333500326
730	0.5332871907
731	0.5330863922
732	0.5330648864
733	0.5330469597
734	0.5329794346
735	0.5328046676
736	0.5327383272
737	0.5327288924
738	0.5325399925
739	0.5324993835
740	0.5323232038
741	0.5321998295
742	0.5321685056
743	0.5320891805
744	0.5318692659
745	0.5317811421
746	0.5315111361
747	0.5313740657
748	0.5312125824
749	0.5311869773
750	0.5311299842
751	0.5310934079
752	0.5308026045
753	0.5304867339
754	0.5303755747
755	0.5303567244
756	0.5303131358
757	0.5302144595
758	0.5300612344
759	0.5300159265
760	0.5299958624
761	0.5299188537
762	0.529803722
763	0.5297103662
764	0.5294037829
765	0.5291815288
766	0.5290029239
767	0.5287869626
768	0.5287740725
769	0.5287185863
770	0.5286059725
771	0.5284772877
772	0.5284520343
773	0.5281336625
774	0.5280080915
775	0.5279127041
776	0.5277926115
777	0.5276594037
778	0.5276053798
779	0.5275086199
780	0.5272435767
781	0.5271100944
782	0.5270434789
783	0.5268252532
784	0.5267696196
785	0.5266270538
786	0.5265686671
787	0.5264238045
788	0.5263609389
789	0.5263355972
790	0.5263048708
791	0.5260380451
792	0.5259473314
793	0.5259298575
794	0.5259128274
795	0.5258351957
796	0.5258021768
797	0.5257609177
798	0.525647999
799	0.5255535487
800	0.525399323
801	0.5253473952
802	0.5253131289
803	0.5250230308
804	0.5248828254
805	0.5248636603
806	0.5247903983
807	0.524768399
808	0.5247041295
809	0.5245547831
810	0.5245141425
811	0.5243618247
812	0.5242198162
813	0.5242140248
814	0.5241415677
815	0.5240646074
816	0.5239539986
817	0.5238949658
818	0.523883909
819	0.5237890095
820	0.5236394443
821	0.5234897406
822	0.5234685155
823	0.5234200681
824	0.5232896019
825	0.5232083887
826	0.5231809223
827	0.5231480023
828	0.5230602585
829	0.5229132233
830	0.5227150676
831	0.5226962775
832	0.5225548092
833	0.5224846457
834	0.5224686872
835	0.5224454965
836	0.5223344288
837	0.5221872443
838	0.5221554188
839	0.5220428371
840	0.5219109572
841	0.5217555139
842	0.521703724
843	0.5214693082
844	0.5213428019
845	0.5213135872
846	0.5211702956
847	0.5209678883
848	0.5209557226
849	0.5209295629
850	0.5208425319
851	0.520711043
852	0.5205660855
853	0.5204549206
854	0.5204445631
855	0.520225073
856	0.5200777291
857	0.5199772559
858	0.5198979323
859	0.5195780391
860	0.5193351376
861	0.5191710788
862	0.5191515066
863	0.5191210827
864	0.5190488729
865	0.5189764957
866	0.5188847202
867	0.5186501117
868	0.5185224506
869	0.5184349015
870	0.5184292148
871	0.5182781764
872	0.5182477256
873	0.5181652102
874	0.518049684
875	0.5178525305
876	0.5177481878
877	0.5175852855
878	0.5173055152
879	0.5172413682
880	0.5172181085
881	0.5171903297
882	0.5171437473
883	0.517137801
884	0.5170780575
885	0.516897916
886	0.5166303642
887	0.5165233329
888	0.5164984558
889	0.5164017205
890	0.5161924156
891	0.5160342034
892	0.5158703347
893	0.5158196962
894	0.5156927719
895	0.5156000436
896	0.5155524676
897	0.5155145983
898	0.5155049024
899	0.515499595
900	0.5154681493
901	0.5154537078
902	0.5152702533
903	0.5152502645
904	0.5151637164
905	0.5150885468
906	0.5150483771
907	0.515023175
908	0.5149448292
909	0.514820123
910	0.5147579584
911	0.5147319046
912	0.5144675808
913	0.5142592087
914	0.5140495241
915	0.5138072366
916	0.513671184
917	0.5135112909
918	0.5133543599
919	0.5132717328
920	0.5131713117
921	0.5131263891
922	0.513084614
923	0.5130388614
924	0.5129695658
925	0.5128484112
926	0.5127360093
927	0.5126282039
928	0.5126063744
929	0.512342353
930	0.5122219149
931	0.512186644
932	0.5120297663
933	0.5119394985
934	0.5118310396
935	0.5116921428
936	0.5114481016
937	0.5113090535
938	0.5111444201
939	0.5111403055
940	0.5110679386
941	0.5110598301
942	0.5110078597
943	0.510971969
944	0.5106009942
945	0.5103750994
946	0.5102579211
947	0.510020098
948	0.50999134
949	0.5098341931
950	0.5098029506
951	0.5097334851
952	0.509477613
953	0.5094470289
954	0.5094226179
955	0.509165258
956	0.5090538094
957	0.5088965565
958	0.5088340821
959	0.5087740606
960	0.508601366
961	0.508536285
962	0.5084873442
963	0.5081934252
964	0.5081152525
965	0.5079051718
966	0.507820419
967	0.5078004465
968	0.5077757535
969	0.5075698757
970	0.5075624755
971	0.5073381898
972	0.5073119594
973	0.507258771
974	0.5072383167
975	0.5070239531
976	0.5070127632
977	0.5069075617
978	0.5067516155
979	0.5066265654
980	0.5065031679
981	0.5063663729
982	0.5063221095
983	0.506257091
984	0.5061935805
985	0.5061102146
986	0.5059706498
987	0.5058602014
988	0.505782104
989	0.5056207704
990	0.505345284
991	0.5050834383
992	0.5050496929
993	0.5049120511
994	0.5048418409
995	0.5046707868
996	0.5044772139
997	0.5044207209
998	0.5043179136
999	0.5043113113
