iter	Passed	Remaining
402	13179	19523
403	13210	19489
404	13249	19464
405	13284	19435
406	13321	19409
407	13355	19378
408	13395	19356
409	13435	19333
410	13466	19299
411	13497	19263
412	13531	19232
413	13566	19202
414	13601	19173
415	13695	19226
416	13736	19204
417	13765	19166
418	13799	19134
419	13833	19102
420	13881	19091
421	13922	19069
422	13974	19062
423	14014	19038
424	14050	19009
425	14089	18984
426	14132	18964
427	14165	18931
428	14205	18908
429	14247	18886
430	14291	18866
431	14333	18845
432	14377	18826
433	14417	18802
434	14455	18775
435	14495	18751
436	14531	18721
437	14566	18690
438	14608	18668
439	14645	18639
440	14682	18611
441	14725	18590
442	14762	18561
443	14802	18535
444	14839	18508
445	14874	18475
446	14910	18446
447	14952	18423
448	14995	18402
449	15031	18371
450	15064	18337
451	15109	18318
452	15171	18319
453	15228	18314
454	15327	18358
455	15407	18380
456	15467	18378
457	15511	18356
458	15548	18326
459	15592	18303
460	15634	18279
461	15676	18255
462	15719	18232
463	15755	18200
464	15796	18174
465	15836	18147
466	15876	18120
467	15913	18090
468	15953	18062
469	15985	18026
470	16020	17993
471	16057	17963
472	16105	17943
473	16140	17911
474	16175	17877
475	16208	17842
476	16244	17811
477	16279	17777
478	16314	17745
479	16351	17713
480	16391	17686
481	16424	17650
482	16457	17616
483	16492	17583
484	16531	17553
485	16569	17523
486	16601	17488
487	16651	17469
488	16688	17439
489	16724	17407
490	16766	17381
491	16798	17344
492	16834	17312
493	16882	17292
494	16931	17273
495	16967	17240
496	17004	17209
497	17039	17176
498	17071	17139
499	17111	17111
500	17149	17081
501	17189	17052
502	17223	17018
503	17257	16983
504	17290	16947
505	17323	16912
506	17365	16885
507	17402	16854
508	17434	16818
509	17468	16783
510	17512	16758
511	17552	16730
512	17591	16700
513	17645	16684
514	17682	16652
515	17718	16619
516	17755	16587
517	17789	16553
518	17827	16522
519	17864	16490
520	17902	16459
521	17948	16435
522	17993	16411
523	18029	16377
524	18066	16345
525	18102	16312
526	18136	16278
527	18177	16249
528	18218	16220
529	18253	16186
530	18280	16145
531	18309	16107
532	18338	16067
533	18368	16029
534	18401	15993
535	18439	15962
536	18475	15929
537	18510	15895
538	18551	15867
539	18585	15831
540	18613	15792
541	18641	15752
542	18668	15711
543	18698	15674
544	18734	15640
545	18764	15602
546	18794	15565
547	18826	15528
548	18864	15496
549	18899	15462
550	18933	15428
551	18968	15394
552	18998	15356
553	19039	15327
554	19068	15289
555	19111	15261
556	19145	15226
557	19179	15192
558	19216	15160
559	19257	15131
560	19298	15101
561	19330	15065
562	19364	15030
563	19400	14997
564	19435	14963
565	19475	14933
566	19519	14906
567	19558	14875
568	19592	14840
569	19632	14810
570	19669	14777
571	19703	14742
572	19738	14709
573	19774	14676
574	19811	14643
575	19852	14613
576	19897	14586
577	19972	14581
578	20048	14577
579	20091	14548
580	20130	14517
581	20180	14493
582	20229	14469
583	20300	14460
584	20341	14430
585	20380	14398
586	20422	14368
587	20458	14334
588	20492	14299
589	20525	14263
